TL_mode	TL_stage	winslow_id	result_path	tb_logs	L_epochs	l_subepochs	l_overlapping	cnn_filtersize	l2_reg_factor	train_epochs	batch_size	train_samples	val_samples	test_samples	oversampling	o_learningrate	o_beta1	o_beta2	o_epsilon	process_start	tl_time	model_time	train_time	eval_time	total_time	train_acc	train_loss	eval_acc	eval_precision_macro	eval_recall_macro	eval_f1_macro
pretrain	evaluation	Transfer Learning_371	/output/transfer_learning/results/20200623-121727/	/workspace/tf_logs/scalars20200623-121725	3	3	10	8	0,000001000	20	256	200	50	50	False	0,000500000	0,900000000	0,999000000	0,000000010	2020-06-23 12:17:26.924248	2:31:24.145644	0:00:38.671804	2:30:38.824913	0:01:13.567979	2:32:38.161748	0,7511292	1,531741595	0,690926004	0,685437180	0,622271645	0,629458867
scratch	training	Transfer Learning_376	/output/transfer_learning/results/20200623-173545/	/workspace/tf_logs/scalars20200623-173543	3	3	10	8	0,000001000	200	256	24	6	9	False	0,000500000	0,900000000	0,999000000	0,000000010	2020-06-23 17:35:44.847407	5:16:56.813488	0:00:38.072251	5:16:13.370360	0:00:18.789637	5:17:16.028876	0,8112632	0,785201554	0,352580480	0,291277270	0,343917557	0,303456244
dense	training	Transfer Learning_377	/output/transfer_learning/results/20200623-225402/	/workspace/tf_logs/scalars20200623-225400	3	3	10	8	0,000001000	200	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-23 22:54:01.893016	2:17:09.311966		2:15:51.086844	0:00:12.684113	2:17:22.393765	0,44617456	3,409137599	0,430761369	0,289408917	0,321219248	0,242871066
recurrent	training	Transfer Learning_378	/output/transfer_learning/results/20200624-011223/	/workspace/tf_logs/scalars20200624-011221	3	3	10	8	0,000001000	200	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 01:12:23.047856	2:38:25.019806		2:37:07.414354	0:00:12.679707	2:38:38.131833	0,48696432	2,971067202	0,433742122	0,471123254	0,315331070	0,237593272
cnn	training	Transfer Learning_379	/output/transfer_learning/results/20200624-035201/	/workspace/tf_logs/scalars20200624-035159	3	3	10	8	0,000001000	200	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 03:52:00.996497	4:28:27.550652		4:27:08.009189	0:00:13.684541	4:28:41.653344	0,48041284	3,395538736	0,415346619	0,324390355	0,289219586	0,265074904
complete	training	Transfer Learning_380	/output/transfer_learning/results/20200624-082145/	/workspace/tf_logs/scalars20200624-082143	3	3	10	8	0,000001000	200	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 08:21:45.095164	6:18:19.448899		6:16:46.658783	0:00:20.997387	6:18:40.822033	0,5683644	2,756495925	0,444132175	0,377867262	0,338977017	0,277958861
scratch	evaluation	Transfer Learning_381	/output/transfer_learning/results/20200624-200732/	/workspace/tf_logs/scalars20200624-200730	3	3	10	8	0,000001000	20	256	24	6	9	False	0,000500000	0,900000000	0,999000000	0,000000010	2020-06-24 20:07:32.160376	0:38:47.355553	0:00:38.534022	0:38:02.384362	0:00:28.864936	0:39:16.648048	0,48616636	3,239503353	0,305384748	0,306015217	0,271533527	0,182682369
dense	evaluation	Transfer Learning_382	/output/transfer_learning/results/20200624-204753/	/workspace/tf_logs/scalars20200624-204751	3	3	10	8	0,000001000	130	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 20:47:53.016914	1:28:44.686065		1:27:06.982455	0:00:16.895489	1:29:02.028528	0,4434934	3,434798562	0,325785874	0,354746293	0,295858673	0,224373766
recurrent	evaluation	Transfer Learning_383	/output/transfer_learning/results/20200624-221759/	/workspace/tf_logs/scalars20200624-221757	3	3	10	8	0,000001000	20	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 22:17:58.883746	0:18:11.393208		0:16:33.541578	0:00:17.265199	0:18:29.046453	0,44216153	3,396927883	0,309982185	0,434155088	0,282916134	0,203588398
cnn	evaluation	Transfer Learning_384	/output/transfer_learning/results/20200624-223732/	/workspace/tf_logs/scalars20200624-223730	3	3	10	8	0,000001000	160	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-24 22:37:32.150396	4:04:03.482205		4:02:12.633044	0:00:18.364012	4:04:22.245151	0,46229935	3,414924617	0,300040228	0,366409736	0,249317714	0,185230187
complete	evaluation	Transfer Learning_385	/output/transfer_learning/results/20200625-024259/	/workspace/tf_logs/scalars20200625-024258	3	3	10	8	0,000001000	20	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-25 02:42:59.484391	0:46:10.109356		0:44:36.376392	0:00:26.296578	0:46:36.833891	0,4439551	3,375515169	0,307396127	0,355311754	0,275926642	0,193473706
direct	evaluation	Transfer Learning_393	/output/transfer_learning/results/20200626-102621/		3	3	10	8	0,000001000	30	256	24	6	9	False	0,000010000	0,900000000	0,999000000	0,000000010	2020-06-26 10:26:21.166579	0:01:25.695863			0:00:25.959591	0:01:52.033351			0,212861330	0,266692853	0,252375900	0,206882019
